"name_2","N_SALES_QUARTILE","N_OVER_UNDER","count"
"40 & PAGE TOWNHOMES","Q1","accurate",1
"40 & PAGE TOWNHOMES","Q1","over",3
"40 & PAGE TOWNHOMES","Q1","under",1
"40 & PAGE TOWNHOMES","Q2","accurate",1
"40 & PAGE TOWNHOMES","Q2","over",1
"40 & PAGE TOWNHOMES","Q2","under",3
"40 & PAGE TOWNHOMES","Q3","accurate",2
"40 & PAGE TOWNHOMES","Q3","over",1
"40 & PAGE TOWNHOMES","Q3","under",2
"40 & PAGE TOWNHOMES","Q4","accurate",1
"40 & PAGE TOWNHOMES","Q4","over",2
"40 & PAGE TOWNHOMES","Q4","under",2
"55 AT THE PARK","Q1","accurate",6
"55 AT THE PARK","Q1","over",30
"55 AT THE PARK","Q1","under",0
"55 AT THE PARK","Q2","accurate",28
"55 AT THE PARK","Q2","over",7
"55 AT THE PARK","Q2","under",1
"55 AT THE PARK","Q3","accurate",25
"55 AT THE PARK","Q3","over",0
"55 AT THE PARK","Q3","under",10
"55 AT THE PARK","Q4","accurate",12
"55 AT THE PARK","Q4","over",0
"55 AT THE PARK","Q4","under",24
"70 RES WAKE LINE","Q1","accurate",1
"70 RES WAKE LINE","Q1","over",11
"70 RES WAKE LINE","Q1","under",1
"70 RES WAKE LINE","Q2","accurate",3
"70 RES WAKE LINE","Q2","over",6
"70 RES WAKE LINE","Q2","under",4
"70 RES WAKE LINE","Q3","accurate",4
"70 RES WAKE LINE","Q3","over",2
"70 RES WAKE LINE","Q3","under",7
"70 RES WAKE LINE","Q4","accurate",4
"70 RES WAKE LINE","Q4","over",1
"70 RES WAKE LINE","Q4","under",8
"751 SOUTH","Q1","accurate",9
"751 SOUTH","Q1","over",11
"751 SOUTH","Q1","under",1
"751 SOUTH","Q2","accurate",19
"751 SOUTH","Q2","over",1
"751 SOUTH","Q2","under",0
"751 SOUTH","Q3","accurate",18
"751 SOUTH","Q3","over",0
"751 SOUTH","Q3","under",2
"751 SOUTH","Q4","accurate",10
"751 SOUTH","Q4","over",0
"751 SOUTH","Q4","under",11
"751 SOUTH FUTURE USE","Q1","accurate",4
"751 SOUTH FUTURE USE","Q1","over",1
"751 SOUTH FUTURE USE","Q1","under",0
"751 SOUTH FUTURE USE","Q2","accurate",3
"751 SOUTH FUTURE USE","Q2","over",0
"751 SOUTH FUTURE USE","Q2","under",2
"751 SOUTH FUTURE USE","Q3","accurate",4
"751 SOUTH FUTURE USE","Q3","over",0
"751 SOUTH FUTURE USE","Q3","under",1
"751 SOUTH FUTURE USE","Q4","accurate",2
"751 SOUTH FUTURE USE","Q4","over",0
"751 SOUTH FUTURE USE","Q4","under",3
"751 SOUTH TWNHMS","Q1","accurate",5
"751 SOUTH TWNHMS","Q1","over",1
"751 SOUTH TWNHMS","Q1","under",0
"751 SOUTH TWNHMS","Q2","accurate",6
"751 SOUTH TWNHMS","Q2","over",0
"751 SOUTH TWNHMS","Q2","under",0
"751 SOUTH TWNHMS","Q3","accurate",6
"751 SOUTH TWNHMS","Q3","over",0
"751 SOUTH TWNHMS","Q3","under",0
"751 SOUTH TWNHMS","Q4","accurate",6
"751 SOUTH TWNHMS","Q4","over",0
"751 SOUTH TWNHMS","Q4","under",0
"751 SOUTH TWNHMS PH 01A","Q1","accurate",13
"751 SOUTH TWNHMS PH 01A","Q1","over",8
"751 SOUTH TWNHMS PH 01A","Q1","under",3
"751 SOUTH TWNHMS PH 01A","Q2","accurate",15
"751 SOUTH TWNHMS PH 01A","Q2","over",3
"751 SOUTH TWNHMS PH 01A","Q2","under",4
"751 SOUTH TWNHMS PH 01A","Q3","accurate",20
"751 SOUTH TWNHMS PH 01A","Q3","over",3
"751 SOUTH TWNHMS PH 01A","Q3","under",0
"751 SOUTH TWNHMS PH 01A","Q4","accurate",16
"751 SOUTH TWNHMS PH 01A","Q4","over",0
"751 SOUTH TWNHMS PH 01A","Q4","under",7
"85 NORTH, COUNTY LINE","Q1","accurate",1
"85 NORTH, COUNTY LINE","Q1","over",4
"85 NORTH, COUNTY LINE","Q1","under",0
"85 NORTH, COUNTY LINE","Q2","accurate",1
"85 NORTH, COUNTY LINE","Q2","over",4
"85 NORTH, COUNTY LINE","Q2","under",0
"85 NORTH, COUNTY LINE","Q3","accurate",1
"85 NORTH, COUNTY LINE","Q3","over",0
"85 NORTH, COUNTY LINE","Q3","under",4
"85 NORTH, COUNTY LINE","Q4","accurate",2
"85 NORTH, COUNTY LINE","Q4","over",0
"85 NORTH, COUNTY LINE","Q4","under",3
"98/N. CO. LINE/85/SHARRON","Q1","accurate",1
"98/N. CO. LINE/85/SHARRON","Q1","over",18
"98/N. CO. LINE/85/SHARRON","Q1","under",3
"98/N. CO. LINE/85/SHARRON","Q2","accurate",7
"98/N. CO. LINE/85/SHARRON","Q2","over",10
"98/N. CO. LINE/85/SHARRON","Q2","under",6
"98/N. CO. LINE/85/SHARRON","Q3","accurate",6
"98/N. CO. LINE/85/SHARRON","Q3","over",5
"98/N. CO. LINE/85/SHARRON","Q3","under",8
"98/N. CO. LINE/85/SHARRON","Q4","accurate",6
"98/N. CO. LINE/85/SHARRON","Q4","over",1
"98/N. CO. LINE/85/SHARRON","Q4","under",14
"ABERDEEN AND GLENN","Q1","accurate",0
"ABERDEEN AND GLENN","Q1","over",8
"ABERDEEN AND GLENN","Q1","under",0
"ABERDEEN AND GLENN","Q2","accurate",3
"ABERDEEN AND GLENN","Q2","over",2
"ABERDEEN AND GLENN","Q2","under",2
"ABERDEEN AND GLENN","Q3","accurate",2
"ABERDEEN AND GLENN","Q3","over",0
"ABERDEEN AND GLENN","Q3","under",5
"ABERDEEN AND GLENN","Q4","accurate",1
"ABERDEEN AND GLENN","Q4","over",2
"ABERDEEN AND GLENN","Q4","under",5
"ADUBON PARK","Q1","accurate",8
"ADUBON PARK","Q1","over",8
"ADUBON PARK","Q1","under",0
"ADUBON PARK","Q2","accurate",13
"ADUBON PARK","Q2","over",2
"ADUBON PARK","Q2","under",0
"ADUBON PARK","Q3","accurate",10
"ADUBON PARK","Q3","over",2
"ADUBON PARK","Q3","under",3
"ADUBON PARK","Q4","accurate",9
"ADUBON PARK","Q4","over",0
"ADUBON PARK","Q4","under",6
"ALBEN ST.","Q1","accurate",2
"ALBEN ST.","Q1","over",2
"ALBEN ST.","Q1","under",0
"ALBEN ST.","Q2","accurate",2
"ALBEN ST.","Q2","over",1
"ALBEN ST.","Q2","under",0
"ALBEN ST.","Q3","accurate",2
"ALBEN ST.","Q3","over",0
"ALBEN ST.","Q3","under",1
"ALBEN ST.","Q4","accurate",1
"ALBEN ST.","Q4","over",0
"ALBEN ST.","Q4","under",2
"ALEXANDER CROSSING","Q1","accurate",3
"ALEXANDER CROSSING","Q1","over",2
"ALEXANDER CROSSING","Q1","under",0
"ALEXANDER CROSSING","Q2","accurate",5
"ALEXANDER CROSSING","Q2","over",0
"ALEXANDER CROSSING","Q2","under",0
"ALEXANDER CROSSING","Q3","accurate",4
"ALEXANDER CROSSING","Q3","over",0
"ALEXANDER CROSSING","Q3","under",1
"ALEXANDER CROSSING","Q4","accurate",5
"ALEXANDER CROSSING","Q4","over",0
"ALEXANDER CROSSING","Q4","under",0
"ALEXANDER PL TOWNHOMES","Q1","accurate",18
"ALEXANDER PL TOWNHOMES","Q1","over",10
"ALEXANDER PL TOWNHOMES","Q1","under",0
"ALEXANDER PL TOWNHOMES","Q2","accurate",24
"ALEXANDER PL TOWNHOMES","Q2","over",4
"ALEXANDER PL TOWNHOMES","Q2","under",0
"ALEXANDER PL TOWNHOMES","Q3","accurate",20
"ALEXANDER PL TOWNHOMES","Q3","over",4
"ALEXANDER PL TOWNHOMES","Q3","under",4
"ALEXANDER PL TOWNHOMES","Q4","accurate",9
"ALEXANDER PL TOWNHOMES","Q4","over",0
"ALEXANDER PL TOWNHOMES","Q4","under",19
"ALSON AND NIXON","Q1","accurate",1
"ALSON AND NIXON","Q1","over",32
"ALSON AND NIXON","Q1","under",0
"ALSON AND NIXON","Q2","accurate",16
"ALSON AND NIXON","Q2","over",12
"ALSON AND NIXON","Q2","under",5
"ALSON AND NIXON","Q3","accurate",9
"ALSON AND NIXON","Q3","over",2
"ALSON AND NIXON","Q3","under",21
"ALSON AND NIXON","Q4","accurate",11
"ALSON AND NIXON","Q4","over",5
"ALSON AND NIXON","Q4","under",17
"ALSTON AVE SOUTH","Q1","accurate",1
"ALSTON AVE SOUTH","Q1","over",1
"ALSTON AVE SOUTH","Q1","under",0
"ALSTON AVE SOUTH","Q2","accurate",1
"ALSTON AVE SOUTH","Q2","over",0
"ALSTON AVE SOUTH","Q2","under",1
"ALSTON AVE SOUTH","Q3","accurate",0
"ALSTON AVE SOUTH","Q3","over",1
"ALSTON AVE SOUTH","Q3","under",1
"ALSTON AVE SOUTH","Q4","accurate",0
"ALSTON AVE SOUTH","Q4","over",1
"ALSTON AVE SOUTH","Q4","under",1
"ALTDORF/BAHAMA WOODS","Q1","accurate",1
"ALTDORF/BAHAMA WOODS","Q1","over",1
"ALTDORF/BAHAMA WOODS","Q1","under",0
"ALTDORF/BAHAMA WOODS","Q2","accurate",2
"ALTDORF/BAHAMA WOODS","Q2","over",0
"ALTDORF/BAHAMA WOODS","Q2","under",0
"ALTDORF/BAHAMA WOODS","Q3","accurate",1
"ALTDORF/BAHAMA WOODS","Q3","over",0
"ALTDORF/BAHAMA WOODS","Q3","under",0
"ALTDORF/BAHAMA WOODS","Q4","accurate",1
"ALTDORF/BAHAMA WOODS","Q4","over",0
"ALTDORF/BAHAMA WOODS","Q4","under",1
"AMBER LYNN","Q1","accurate",2
"AMBER LYNN","Q1","over",4
"AMBER LYNN","Q1","under",0
"AMBER LYNN","Q2","accurate",3
"AMBER LYNN","Q2","over",2
"AMBER LYNN","Q2","under",0
"AMBER LYNN","Q3","accurate",4
"AMBER LYNN","Q3","over",0
"AMBER LYNN","Q3","under",1
"AMBER LYNN","Q4","accurate",4
"AMBER LYNN","Q4","over",0
"AMBER LYNN","Q4","under",1
"AMERICAN VILLAGE","Q1","accurate",11
"AMERICAN VILLAGE","Q1","over",12
"AMERICAN VILLAGE","Q1","under",0
"AMERICAN VILLAGE","Q2","accurate",14
"AMERICAN VILLAGE","Q2","over",5
"AMERICAN VILLAGE","Q2","under",3
"AMERICAN VILLAGE","Q3","accurate",7
"AMERICAN VILLAGE","Q3","over",6
"AMERICAN VILLAGE","Q3","under",9
"AMERICAN VILLAGE","Q4","accurate",13
"AMERICAN VILLAGE","Q4","over",3
"AMERICAN VILLAGE","Q4","under",6
"ANDERSON ST","Q1","accurate",1
"ANDERSON ST","Q1","over",4
"ANDERSON ST","Q1","under",0
"ANDERSON ST","Q2","accurate",1
"ANDERSON ST","Q2","over",1
"ANDERSON ST","Q2","under",2
"ANDERSON ST","Q3","accurate",4
"ANDERSON ST","Q3","over",0
"ANDERSON ST","Q3","under",0
"ANDERSON ST","Q4","accurate",0
"ANDERSON ST","Q4","over",0
