"name_2","N_COUNT","N_MED_ADJ_SALES_PRICE","N_MED_ADJ_SALES_RATIO","N_PERCENT_ASIAN","N_PERCENT_BLACK","N_PERCENT_HISPANIC","N_PERCENT_WHITE","N_MED_SALES_RATIO"
"40 & PAGE TOWNHOMES",20,428500,0.67754293378708,16.47244094,26.77165354,10.67716535,43.46456693,0.67754293378708
"55 AT THE PARK",143,408462.5,0.790955138328362,3.536754508,56.65742025,10.61026352,28.43273232,0.789132720105125
"70 RES WAKE LINE",52,404637.803490137,0.653094033615868,5.23220926584615,13.7683342343077,4.14589135678846,73.4626797369231,0.662752222222222
"751 SOUTH",82,738231.25,0.562666160729953,20.94517958,7.069943289,1.890359168,65.86011342,0.57436219832736
"751 SOUTH FUTURE USE",20,852500,0.475286861092996,20.94517958,7.069943289,1.890359168,65.86011342,0.469560513368984
"751 SOUTH TWNHMS",24,484568.75,0.803565545114472,20.94517958,7.069943289,1.890359168,65.86011342,0.823654683742334
"751 SOUTH TWNHMS PH 01A",92,442054.21686747,0.607811422036558,20.94517958,7.069943289,1.890359168,65.86011342,0.616939001493493
"85 NORTH, COUNTY LINE",20,269575,0.527651944568127,0.511795624,48.6857350965,20.356848065,25.32525484855,0.547300498084291
"98/N. CO. LINE/85/SHARRON",85,296385.542168675,0.606429268292683,0.0174493423294118,15.9689064597647,9.03239049668235,74.6244813758235,0.668030508474576
"ABERDEEN AND GLENN",30,247924.931897545,0.623599624838619,0,26.38504155,51.10803324,21.32963989,0.679107307692308
"ADUBON PARK",61,497125,0.555578576816696,0.72815534,17.31391586,3.478964401,71.60194175,0.589085255767302
"ALBEN ST.",13,484096.385542169,0.540908411214953,21.55207077,39.20386007,9.288299156,28.58866104,0.574049504950495
"ALEXANDER CROSSING",20,494861.91198786,0.533980046122577,10.24868124,31.98944989,1.620195931,50.03767898,0.568716313275522
"ALEXANDER PL TOWNHOMES",112,404618.75,0.753832823873069,1.152073733,68.8172043,0,23.88632873,0.774765316205534
"ALSON AND NIXON",131,248500,0.54749075314929,1.13006579681679,65.5588776236641,22.3880504137405,4.73838802067176,0.594395604395604
"ALSTON AVE SOUTH",8,304855.842185129,0.580579066442389,2.652197643375,16.62580554125,32.66956652,39.317581785,0.611723981143552
