"VCS_block","VCS_SALES_QUARTILE","VCS_OVER_UNDER","count"
"C738D","Q1","accurate",1
"C738D","Q1","over",1
"C738D","Q1","under",0
"C738D","Q2","accurate",1
"C738D","Q2","over",0
"C738D","Q2","under",1
"C738D","Q3","accurate",0
"C738D","Q3","over",1
"C738D","Q3","under",1
"C738D","Q4","accurate",0
"C738D","Q4","over",1
"C738D","Q4","under",1
"C831C","Q1","accurate",1
"C831C","Q1","over",3
"C831C","Q1","under",0
"C831C","Q2","accurate",0
"C831C","Q2","over",1
"C831C","Q2","under",2
"C831C","Q3","accurate",1
"C831C","Q3","over",1
"C831C","Q3","under",1
"C831C","Q4","accurate",1
"C831C","Q4","over",1
"C831C","Q4","under",1
"C832L","Q1","accurate",2
"C832L","Q1","over",0
"C832L","Q1","under",0
"C832L","Q2","accurate",0
"C832L","Q2","over",1
"C832L","Q2","under",0
"C832L","Q3","accurate",0
"C832L","Q3","over",0
"C832L","Q3","under",1
"C832L","Q4","accurate",0
"C832L","Q4","over",0
"C832L","Q4","under",1
"D708A","Q1","accurate",0
"D708A","Q1","over",5
"D708A","Q1","under",0
"D708A","Q2","accurate",5
"D708A","Q2","over",0
"D708A","Q2","under",0
"D708A","Q3","accurate",4
"D708A","Q3","over",0
"D708A","Q3","under",0
"D708A","Q4","accurate",1
"D708A","Q4","over",0
"D708A","Q4","under",4
"D709B","Q1","accurate",1
"D709B","Q1","over",1
"D709B","Q1","under",1
"D709B","Q2","accurate",2
"D709B","Q2","over",0
"D709B","Q2","under",0
"D709B","Q3","accurate",2
"D709B","Q3","over",0
"D709B","Q3","under",0
"D709B","Q4","accurate",2
"D709B","Q4","over",0
"D709B","Q4","under",0
"D709C","Q1","accurate",2
"D709C","Q1","over",1
"D709C","Q1","under",0
"D709C","Q2","accurate",2
"D709C","Q2","over",0
"D709C","Q2","under",0
"D709C","Q3","accurate",1
"D709C","Q3","over",1
"D709C","Q3","under",0
"D709C","Q4","accurate",2
"D709C","Q4","over",0
"D709C","Q4","under",0
"D718A","Q1","accurate",7
"D718A","Q1","over",1
"D718A","Q1","under",0
"D718A","Q2","accurate",2
"D718A","Q2","over",5
"D718A","Q2","under",1
"D718A","Q3","accurate",5
"D718A","Q3","over",2
"D718A","Q3","under",0
"D718A","Q4","accurate",4
"D718A","Q4","over",0
"D718A","Q4","under",4
"D718B","Q1","accurate",5
"D718B","Q1","over",5
"D718B","Q1","under",1
"D718B","Q2","accurate",5
"D718B","Q2","over",4
"D718B","Q2","under",2
"D718B","Q3","accurate",11
"D718B","Q3","over",0
"D718B","Q3","under",1
"D718B","Q4","accurate",3
"D718B","Q4","over",0
"D718B","Q4","under",7
"D719A","Q1","accurate",6
"D719A","Q1","over",4
"D719A","Q1","under",0
"D719A","Q2","accurate",9
"D719A","Q2","over",1
"D719A","Q2","under",1
"D719A","Q3","accurate",8
"D719A","Q3","over",0
"D719A","Q3","under",1
"D719A","Q4","accurate",5
"D719A","Q4","over",0
"D719A","Q4","under",4
"D739A","Q1","accurate",3
"D739A","Q1","over",1
"D739A","Q1","under",0
"D739A","Q2","accurate",2
"D739A","Q2","over",1
"D739A","Q2","under",0
"D739A","Q3","accurate",3
"D739A","Q3","over",0
"D739A","Q3","under",0
"D739A","Q4","accurate",1
"D739A","Q4","over",0
"D739A","Q4","under",2
"D747A","Q1","accurate",5
"D747A","Q1","over",7
"D747A","Q1","under",0
"D747A","Q2","accurate",8
"D747A","Q2","over",3
"D747A","Q2","under",0
"D747A","Q3","accurate",9
"D747A","Q3","over",2
"D747A","Q3","under",0
"D747A","Q4","accurate",4
"D747A","Q4","over",0
"D747A","Q4","under",8
"D798A","Q1","accurate",1
"D798A","Q1","over",2
"D798A","Q1","under",0
"D798A","Q2","accurate",2
"D798A","Q2","over",1
"D798A","Q2","under",0
"D798A","Q3","accurate",1
"D798A","Q3","over",0
"D798A","Q3","under",2
"D798A","Q4","accurate",0
"D798A","Q4","over",0
"D798A","Q4","under",3
"D798C","Q1","accurate",2
"D798C","Q1","over",4
"D798C","Q1","under",0
"D798C","Q2","accurate",6
"D798C","Q2","over",0
"D798C","Q2","under",0
"D798C","Q3","accurate",3
"D798C","Q3","over",0
"D798C","Q3","under",2
"D798C","Q4","accurate",2
"D798C","Q4","over",0
"D798C","Q4","under",4
"D798D","Q1","accurate",0
"D798D","Q1","over",2
"D798D","Q1","under",0
"D798D","Q2","accurate",1
"D798D","Q2","over",0
"D798D","Q2","under",0
"D798D","Q3","accurate",1
"D798D","Q3","over",0
"D798D","Q3","under",0
"D798D","Q4","accurate",0
"D798D","Q4","over",0
"D798D","Q4","under",1
"D798E","Q1","accurate",0
"D798E","Q1","over",10
"D798E","Q1","under",0
"D798E","Q2","accurate",6
"D798E","Q2","over",3
"D798E","Q2","under",1
"D798E","Q3","accurate",3
"D798E","Q3","over",1
"D798E","Q3","under",5
"D798E","Q4","accurate",1
"D798E","Q4","over",0
"D798E","Q4","under",9
"D798F","Q1","accurate",0
"D798F","Q1","over",11
"D798F","Q1","under",0
"D798F","Q2","accurate",4
"D798F","Q2","over",6
"D798F","Q2","under",0
"D798F","Q3","accurate",6
"D798F","Q3","over",1
"D798F","Q3","under",3
"D798F","Q4","accurate",0
"D798F","Q4","over",0
"D798F","Q4","under",10
"D798G","Q1","accurate",4
"D798G","Q1","over",4
"D798G","Q1","under",0
"D798G","Q2","accurate",5
"D798G","Q2","over",2
"D798G","Q2","under",0
"D798G","Q3","accurate",6
"D798G","Q3","over",0
"D798G","Q3","under",1
"D798G","Q4","accurate",5
"D798G","Q4","over",0
"D798G","Q4","under",2
"D798H","Q1","accurate",5
"D798H","Q1","over",15
"D798H","Q1","under",0
"D798H","Q2","accurate",19
"D798H","Q2","over",1
"D798H","Q2","under",0
"D798H","Q3","accurate",20
"D798H","Q3","over",0
"D798H","Q3","under",1
"D798H","Q4","accurate",4
"D798H","Q4","over",0
"D798H","Q4","under",14
"D802A","Q1","accurate",1
"D802A","Q1","over",3
"D802A","Q1","under",0
"D802A","Q2","accurate",3
"D802A","Q2","over",1
"D802A","Q2","under",0
"D802A","Q3","accurate",1
"D802A","Q3","over",0
"D802A","Q3","under",3
"D802A","Q4","accurate",3
"D802A","Q4","over",0
"D802A","Q4","under",1
"D810A","Q1","accurate",0
"D810A","Q1","over",2
"D810A","Q1","under",0
"D810A","Q2","accurate",1
"D810A","Q2","over",0
"D810A","Q2","under",0
"D810A","Q3","accurate",1
"D810A","Q3","over",0
"D810A","Q3","under",0
"D810A","Q4","accurate",1
"D810A","Q4","over",0
"D810A","Q4","under",0
"D811A","Q1","accurate",3
"D811A","Q1","over",0
"D811A","Q1","under",0
"D811A","Q2","accurate",2
"D811A","Q2","over",0
"D811A","Q2","under",0
"D811A","Q3","accurate",1
"D811A","Q3","over",0
"D811A","Q3","under",1
"D811A","Q4","accurate",2
"D811A","Q4","over",0
"D811A","Q4","under",1
"D812B","Q1","accurate",1
"D812B","Q1","over",2
"D812B","Q1","under",0
"D812B","Q2","accurate",2
"D812B","Q2","over",0
"D812B","Q2","under",0
"D812B","Q3","accurate",2
"D812B","Q3","over",0
"D812B","Q3","under",0
"D812B","Q4","accurate",2
"D812B","Q4","over",0
"D812B","Q4","under",0
"D812D","Q1","accurate",0
"D812D","Q1","over",2
"D812D","Q1","under",0
"D812D","Q2","accurate",1
"D812D","Q2","over",1
"D812D","Q2","under",0
"D812D","Q3","accurate",1
"D812D","Q3","over",0
"D812D","Q3","under",1
"D812D","Q4","accurate",2
"D812D","Q4","over",0
"D812D","Q4","under",0
"D821C","Q1","accurate",1
"D821C","Q1","over",1
"D821C","Q1","under",1
"D821C","Q2","accurate",3
"D821C","Q2","over",1
"D821C","Q2","under",0
"D821C","Q3","accurate",1
"D821C","Q3","over",0
"D821C","Q3","under",0
"D821C","Q4","accurate",2
"D821C","Q4","over",0
"D821C","Q4","under",1
"D821E","Q1","accurate",3
"D821E","Q1","over",0
"D821E","Q1","under",0
"D821E","Q2","accurate",0
"D821E","Q2","over",0
"D821E","Q2","under",0
"D821E","Q3","accurate",2
"D821E","Q3","over",0
"D821E","Q3","under",0
"D821E","Q4","accurate",1
"D821E","Q4","over",0
"D821E","Q4","under",0
"D821I","Q1","accurate",1
"D821I","Q1","over",1
"D821I","Q1","under",0
"D821I","Q2","accurate",1
"D821I","Q2","over",0
"D821I","Q2","under",0
"D821I","Q3","accurate",1
"D821I","Q3","over",0
"D821I","Q3","under",0
"D821I","Q4","accurate",2
"D821I","Q4","over",0
"D821I","Q4","under",0
"D821J","Q1","accurate",3
"D821J","Q1","over",0
"D821J","Q1","under",0
"D821J","Q2","accurate",0
"D821J","Q2","over",1
"D821J","Q2","under",1
"D821J","Q3","accurate",2
"D821J","Q3","over",0
"D821J","Q3","under",0
"D821J","Q4","accurate",2
"D821J","Q4","over",0
"D821J","Q4","under",0
"D821K","Q1","accurate",8
"D821K","Q1","over",7
"D821K","Q1","under",2
"D821K","Q2","accurate",7
"D821K","Q2","over",9
"D821K","Q2","under",1
"D821K","Q3","accurate",10
"D821K","Q3","over",0
"D821K","Q3","under",7
"D821K","Q4","accurate",4
"D821K","Q4","over",0
"D821K","Q4","under",13
"D821S","Q1","accurate",4
"D821S","Q1","over",7
"D821S","Q1","under",0
"D821S","Q2","accurate",5
"D821S","Q2","over",2
"D821S","Q2","under",4
"D821S","Q3","accurate",7
"D821S","Q3","over",2
"D821S","Q3","under",1
"D821S","Q4","accurate",1
"D821S","Q4","over",6
"D821S","Q4","under",4
"D822A","Q1","accurate",0
"D822A","Q1","over",0
"D822A","Q1","under",18
"D822A","Q2","accurate",4
"D822A","Q2","over",3
"D822A","Q2","under",0
"D822A","Q3","accurate",14
"D822A","Q3","over",0
"D822A","Q3","under",0
"D822A","Q4","accurate",11
"D822A","Q4","over",0
"D822A","Q4","under",0
"D822C","Q1","accurate",3
"D822C","Q1","over",7
"D822C","Q1","under",0
"D822C","Q2","accurate",10
"D822C","Q2","over",0
"D822C","Q2","under",0
"D822C","Q3","accurate",9
"D822C","Q3","over",0
"D822C","Q3","under",0
"D822C","Q4","accurate",5
"D822C","Q4","over",0
"D822C","Q4","under",5
"D822I","Q1","accurate",5
"D822I","Q1","over",2
"D822I","Q1","under",0
"D822I","Q2","accurate",2
"D822I","Q2","over",1
"D822I","Q2","under",3
"D822I","Q3","accurate",2
"D822I","Q3","over",1
"D822I","Q3","under",3
"D822I","Q4","accurate",4
"D822I","Q4","over",2
"D822I","Q4","under",1
"D822L","Q1","accurate",0
"D822L","Q1","over",1
"D822L","Q1","under",1
"D822L","Q2","accurate",0
"D822L","Q2","over",1
"D822L","Q2","under",0
"D822L","Q3","accurate",0
"D822L","Q3","over",0
"D822L","Q3","under",1
"D822L","Q4","accurate",2
"D822L","Q4","over",0
"D822L","Q4","under",0
"D822U","Q1","accurate",6
"D822U","Q1","over",0
"D822U","Q1","under",0
"D822U","Q2","accurate",3
"D822U","Q2","over",2
"D822U","Q2","under",1
"D822U","Q3","accurate",5
"D822U","Q3","over",0
"D822U","Q3","under",0
"D822U","Q4","accurate",1
"D822U","Q4","over",0
"D822U","Q4","under",5
"D831D","Q1","accurate",2
"D831D","Q1","over",0
