"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_MED_SALES_RATIO"
"C738D",8,304855.842185129,0.580579066442389,2.652197643375,16.62580554125,32.66956652,39.317581785,0.611723981143552
"C831C",13,212409.638554217,0.397278354854137,1.88267517507692,53.6025550261538,26.7634561846154,15.1966060805385,0.494337254901961
"C832L",5,232685.887708649,0.573820231707317,0,26.38504155,51.10803324,21.32963989,0.588142857142857
"D708A",19,311077.389984826,0.570633351436753,16.01343785,4.479283315,1.511758119,74.41209406,0.664825925925926
"D709B",9,292412.746585736,0.490627118644068,0,25.96491228,26.9005848,44.09356725,0.579829181494662
"D709C",9,617469.879518072,0.663460304878049,7.371167645,11.2198304,6.196999348,74.36399217,0.764126923076923
"D718A",31,656987.951807229,0.61620597206522,8.610086101,21.52521525,0,68.94218942,0.692251063829787
"D718B",44,194237.5,0.596395,2.011680727,66.32057106,3.958468527,26.47631408,0.662648756756757
"D719A",39,194750,0.437489088575096,5.501330967,8.42945874,7.808340728,77.01863354,0.468495238095238
"D739A",13,196600.91047041,0.489560975609756,0,95.77384352,0,4.226156482,0.50635
"D747A",46,271442.242033384,0.623466906159126,34.10672854,30.9579052,1.491547895,31.15677826,0.726937585929828
"D798A",12,1096547.79969651,0.715284824119241,0.61462815,2.274124155,0,87.95328826,0.763093333333333
"D798C",23,584825.493171472,0.731027648298705,0.61462815,2.274124155,0,87.95328826,0.755499241274659
"D798D",5,450000,0.668322824581958,0.61462815,2.274124155,0,87.95328826,0.661635555555556
"D798E",39,497125,0.746246919788786,0.61462815,2.274124155,0,87.95328826,0.800840425531915
"D798F",41,471500,0.754683202671313,0.61462815,2.274124155,0,87.95328826,0.801389743589744
"D798G",29,269710.843373494,0.571115100242625,16.01343785,4.479283315,1.511758119,74.41209406,0.644114624505929
"D798H",79,281566.265060241,0.517360269360269,16.01343785,4.479283315,1.511758119,74.41209406,0.543916363636364
"D802A",16,422562.5,0.503729132791328,6.420545746,3.531300161,0,85.71428571,0.516322361111111
"D810A",5,269575,0.47109709728276,22.3880597,32.46268657,3.731343284,29.85074627,0.482874524714829
"D811A",10,237800,0.480539949879897,14.40329218,1.783264746,3.223593964,76.54320988,0.488521934460888
"D812B",9,330000,0.529490909090909,10.77981651,42.66055046,17.66055046,27.06422018,0.557841935483871
"D812D",8,385735.963581184,0.62982398163723,35.95419847,10.15267176,10.61068702,41.3740458,0.745228849590469
"D821C",11,625000,0.7126128,3.223443223,9.377289377,6.373626374,74.72527473,0.77626968973747
"D821E",6,183535.660091047,0.664546814269694,0,26.24179944,28.39737582,28.49109653,0.812886666666667
"D821I",6,722093.076402728,0.694863152868531,3.223443223,9.377289377,6.373626374,74.72527473,0.777305521036748
"D821J",9,745903.614457831,0.80006243902439,5.31358885,8.536585366,3.135888502,65.67944251,0.817102173913044
"D821K",68,802463.855421687,0.987873655761586,3.223443223,9.377289377,6.373626374,74.72527473,0.975971563523495
"D821S",43,390713.201820941,0.774066871264739,2.336448598,32.57676903,6.608811749,56.00801068,0.919187692307692
"D822A",50,164000,0.678506738544474,1.254064097,42.63817928,29.07570831,15.09521598,0.678506738544474
"D822C",39,248963.855421687,0.48528518902439,2.480916031,7.951653944,8.905852417,69.91094148,0.527375545851528
"D822I",26,427731.411229135,0.793076884097368,5.31358885,8.536585366,3.135888502,65.67944251,0.840456412529551
"D822L",6,1318968.13353566,0.832441835377166,2.480916031,7.951653944,8.905852417,69.91094148,0.95261737704918
"D822U",23,426400,0.95854883151342,12.82431431,6.152705708,10.15567087,61.00815419,0.982512552301255
"D831D",5,373292.867981791,0.664642424242424,3.223443223,9.377289377,6.373626374,74.72527473,0.731106666666667
"D831K",25,368012.048192771,0.909188492184174,3.223443223,9.377289377,6.373626374,74.72527473,0.9312
"D834V",11,415000,0.740331182795699,0,61.07544141,3.451043339,28.81219904,0.773624685138539
"D840A",14,130255.271084337,0.470156104605089,0,15.98101266,67.7742616,14.50421941,0.481910007220217
"D841A",10,71547.7996965099,0.397605339419582,0,30.72143597,55.36762168,10.52813255,0.494744124922696
"R707B",18,730350,0.679865490918526,16.01343785,4.479283315,1.511758119,74.41209406,0.716875387931035
"R707D",82,738231.25,0.562666160729953,20.94517958,7.069943289,1.890359168,65.86011342,0.57436219832736
"R707F",6,526825.301204819,0.590415016013797,15.4331309533333,7.77548942366667,1.67411674,69.6789490666667,0.630488599695586
"R707U",20,852500,0.475286861092996,20.94517958,7.069943289,1.890359168,65.86011342,0.469560513368984
"R708A",44,591358.118361153,0.600354635249972,10.8844647309091,2.93102845731818,0.206148834409091,85.4897088913636,0.627953672316384
"R708C",54,575798.62698137,0.608132012593464,10.07462687,2.686567164,0,87.23880597,0.677653684934599
"R708D",9,472837.632776935,0.86855607830552,7.371167645,11.2198304,6.196999348,74.36399217,0.93659649122807
"R708F",15,925000,0.662834594594595,8.610086101,21.52521525,0,68.94218942,0.668860606060606
"R708G",7,527875,0.552572219339215,0,20.25316456,4.068716094,70.70524412,0.6282825
"R708R",16,593870.068285281,0.636628006288774,7.371167645,11.2198304,6.196999348,74.36399217,0.73772358490566
