"name_2","gid","N_COUNT","N_MED_ADJ_SALES_PRICE","N_MED_ADJ_SALES_RATIO","N_PERCENT_ASIAN","N_PERCENT_BLACK","N_PERCENT_HISPANIC","N_PERCENT_WHITE","N_DISPLAY_MED_SALES_RATIO"
"",289,23,915087.281795511,0.59582609913454,8.769230769,16,3.846153846,69.84615385,0.664788847667132
"",379,8,725000,0.733178853658537,2.820512820125,12.552170052375,9.64438339475,69.1454379,0.664788847667132
"",468,78,337016.949152542,0.672570796269727,1.245640259,75.08719482,19.03338316,2.939711011,0.664788847667132
"",NA,105,352421.307506053,0.621416080982643,12.5398506163714,41.0677267146762,12.9841702260286,31.1306431081333,0.664788847667132
"40 & PAGE TOWNHOMES",NA,20,428500,0.67754293378708,16.47244094,26.77165354,10.67716535,43.46456693,0.67754293378708
"55 AT THE PARK",389,143,408977.556109726,0.789307542908762,3.536754508,56.65742025,10.61026352,28.43273232,0.789132720105125
"70 RES WAKE LINE",NA,52,404132.971819314,0.65232669445886,5.23220926584615,13.7683342343077,4.14589135678846,73.4626797369231,0.662752222222222
"751 SOUTH",NA,82,739794.188861985,0.56102905610471,20.94517958,7.069943289,1.890359168,65.86011342,0.57436219832736
"751 SOUTH FUTURE USE",NA,16,847162.832929782,0.449418178701877,20.94517958,7.069943289,1.890359168,65.86011342,0.469560513368984
"751 SOUTH TWNHMS",NA,24,483360.349127182,0.805574458977258,20.94517958,7.069943289,1.890359168,65.86011342,0.823654683742334
"751 SOUTH TWNHMS PH 01A",283,32,435153.753026634,0.594574927062668,20.94517958,7.069943289,1.890359168,65.86011342,0.616939001493493
"751 SOUTH TWNHMS PH 01A",NA,60,449700.781138051,0.621590536930169,20.94517958,7.069943289,1.890359168,65.86011342,0.616939001493493
"85 NORTH, COUNTY LINE",NA,19,266857.855361596,0.532716671449067,0.429393733736842,48.0425361236842,20.5585230363158,25.9325529395263,0.547300498084291
"98/N. CO. LINE/85/SHARRON",NA,83,297820.823244552,0.607945341463415,0.0178698084096386,14.656378926747,9.12575379291566,75.8383382130723,0.668030508474576
"ABERDEEN AND GLENN",NA,30,248522.96567916,0.623599624838619,0,26.38504155,51.10803324,21.32963989,0.679107307692308
"ADUBON PARK",247,61,496368.03874092,0.5531475488109,0.72815534,17.31391586,3.478964401,71.60194175,0.589085255767302
"ALBEN ST.",465,13,485280.728376328,0.540908411214953,21.55207077,39.20386007,9.288299156,28.58866104,0.574049504950495
"ALEXANDER CROSSING",418,5,490773.067331671,0.533192307692308,10.24868124,31.98944989,1.620195931,50.03767898,0.568716313275522
"ALEXANDER CROSSING",NA,15,497723.823975721,0.547604890243902,10.24868124,31.98944989,1.620195931,50.03767898,0.568716313275522
"ALEXANDER PL TOWNHOMES",NA,112,403609.725685786,0.755717405932751,1.152073733,68.8172043,0,23.88632873,0.774765316205534
"ALSON AND NIXON",438,25,219825.436408978,0.544429660916121,1.599654129,63.20795504,24.85948984,4.193687851,0.594395604395604
"ALSON AND NIXON",NA,106,259438.543247344,0.556867650307247,1.01931383167925,66.1133404971698,21.8051637566038,4.86685504182075,0.594395604395604
"ALSTON AVE SOUTH",NA,8,304855.842185129,0.577781095037847,2.652197643375,16.62580554125,32.66956652,39.317581785,0.611723981143552
"ALTDORF/BAHAMA WOODS",NA,7,368079.800498753,0.599188001355013,0.434656620857143,35.20950212,12.6702405085714,48.8603327171429,0.63516
"AMBER LYNN",235,21,260723.19201995,0.475525164046057,0,70.51993942,8.480565371,4.745078243,0.530764444444444
"AMERICAN VILLAGE",237,79,521987.860394537,0.595614219334164,6.52599672672152,16.4781117302278,7.83143391131646,66.6065147237975,0.637864788732394
"AMERICAN VILLAGE",NA,10,431832.321699545,0.568419977178481,10.2212680623,31.936294506,6.604683585,47.808576168,0.637864788732394
"ANDERSON ST",238,12,756961.259079903,0.66069728810663,0,26.24179944,28.39737582,28.49109653,0.672675324675325
"ANDERSON ST 2",238,24,513277.693474962,0.555437076306364,0,26.24179944,28.39737582,28.49109653,0.584886502801231
"ANDREWS CHAPEL",NA,153,489750.623441397,0.646393081202067,11.81364393,21.21464226,4.076539101,61.64725458,0.750015151515152
"ANDREWS CHAPEL TOWNS",NA,20,463505.31107739,0.643279538859192,11.81364393,21.21464226,4.076539101,61.64725458,0.7261
"ARBORS",269,68,601963.840399003,0.632294689668848,2.031694433,4.794798862,14.38439659,78.78911012,0.721586363636364
"ARBORS",NA,387,492817.95511222,0.700167287423082,2.56434792313954,9.77872624172093,7.1125229492558,76.6028488455814,0.721586363636364
"ARCHDALE AND ROXBORO",402,5,260000,0.467824721583065,0.7236842104,39.796992478,21.0751879684,30.3900375934,0.628062365591398
"ARCHDALE AND ROXBORO",NA,60,273679.560710887,0.578503947368421,0,65.479721934,5.35168305155,26.86502358755,0.628062365591398
"ARCHERWOODS",239,16,412633.4738215,0.593561806371232,0,11.06785631725,0.8779631255,86.890879415,0.605776621808144
"ARGONNE HILLS",NA,23,391957.51138088,0.550129868667917,0.574534161478261,27.1639901026087,12.7374447808696,57.401476403913,0.574112977099237
"ASHFIELD PLACE",NA,53,500997.506234414,0.570937931707317,2.12705815845283,16.433276545,1.23272762686793,71.8247786496226,0.605827722772277
"ASHLEY FIRST",242,37,394446.130500759,0.567017361731364,4.281891169,21.67707404,2.943800178,61.46297948,0.635893150684931
"ASHTON HALL",243,56,479425.336506987,0.594847990731244,10.56625803,36.31056626,13.25160537,39.87157034,0.632328395061728
"ASHTON HALL",NA,31,497723.823975721,0.601987043002505,10.56625803,36.31056626,13.25160537,39.87157034,0.632328395061728
"ATWATER TOWNHOMES",NA,76,364914.061698055,0.805751265966277,17.2094613219737,37.8724063253947,3.34836819139473,39.824442956579,0.817850980529855
"AUBURN",244,43,451408.97755611,0.556722469898117,1.861832435,31.50416463,5.634492896,55.41401274,0.584133333333333
"AUBURN SQUARE TOWNHOMES",245,40,333783.292978208,0.534479284552846,1.861832435,31.50416463,5.634492896,55.41401274,0.556117969821673
"AUBURN SQUARE TOWNHOMES",246,25,374537.17754173,0.543620163058372,1.861832435,31.50416463,5.634492896,55.41401274,0.556117969821673
"AUTUM LEAF",267,48,388775.561097257,0.580275487242521,0.421572903333333,69.40064477125,7.77868901883333,11.5426840925,0.597723089983022
"AUTUM LEAF",NA,36,421068.635916263,0.54606996666843,0,69.55752212,2.477876106,13.45132743,0.597723089983022
"AUTUMN RIDGE",248,15,536077.481840194,0.607537875278194,0,56.41025641,6.666666667,34.65201465,0.614982275132275
"AUTUMN RIDGE",330,15,491502.276176024,0.554098260162602,1.085141903,9.18196995,0.667779633,76.79465776,0.614982275132275
"BAHAMA RUAL",NA,69,382625.189681335,0.562818859498454,0.944546997565218,25.784431183913,5.78424023217391,66.1969853104348,0.596393495934959
"BAHAMA SOUTH",NA,9,306100.151745068,0.583249089730161,4.65185086666667,12.6447828811111,13.99525968,60.4273600911111,0.60384
"BAKERS MILL",NA,17,441729.893778452,0.630911125121591,7.371167645,11.2198304,6.196999348,74.36399217,0.662039024390244
"BARBEE MDWS",461,7,425000,0.547009411764706,6.157965194,26.17135207,2.008032129,63.58768407,0.562048192771084
"BARKLEY STREET TWNHMS",434,5,637708.649468892,0.5916667100271,0.616740088,0.176211454,8.986784141,72.95154185,0.663094717668488
"BARWICK DR",NA,27,327253.414264036,0.522747181964573,0,0,42.41948154,57.58051846,0.522747181964573
"BAY CREEK",NA,50,164000,0.678506738544474,1.254064097,42.63817928,29.07570831,15.09521598,0.678506738544474
"BAY POINTE",NA,13,385735.963581184,0.518210368980613,21.55207077,39.20386007,9.288299156,28.58866104,0.521564803804994
"BELCREST",252,13,480000,0.538279790130459,21.55207077,39.20386007,9.288299156,28.58866104,0.555063157894737
"BELGREEN",NA,31,394446.130500759,0.760888757506116,2.32172471,64.59369818,7.711442786,11.35986733,0.946781155015198
"BENNINGTON",NA,24,458299.875311721,0.530945889430685,11.81364393,21.21464226,4.076539101,61.64725458,0.56645
"BENT CREEK",253,13,605000,0.527017962962963,5.809698079,22.64409881,0,70.3568161,0.59930297029703
