"VCS_block","TOTAL_SALES","Q1_COUNT","Q2_COUNT","Q3_COUNT","Q4_COUNT","UNDER_COUNT","OVER_COUNT","ACCURATE_COUNT"
"R831C",349,88,87,87,87,130,139,80
"R832E",275,69,69,69,68,95,107,73
"R769D",236,59,59,59,59,82,85,69
"R769C",221,56,55,55,55,30,57,134
"R729D",203,51,51,51,50,41,55,107
"T719F",198,50,50,49,49,30,47,121
"R727G",188,47,47,47,47,48,49,91
"R810K",172,43,43,43,43,58,63,51
"R823B",168,42,42,42,42,46,52,70
"T830D",160,40,40,40,40,32,21,107
"R831H",150,38,38,37,37,50,56,44
"T840D",149,38,37,37,37,21,38,90
"R830G",143,36,36,36,35,60,65,18
"T739J",143,36,36,36,35,35,37,71
"R822A",141,36,35,35,35,42,40,59
"R841D",133,34,33,33,33,37,51,45
"R748A",132,33,33,33,33,24,22,86
"R830F",131,33,33,33,32,43,51,37
"R816C",130,33,33,32,32,39,45,46
"T769G",129,33,32,32,32,20,15,94
"R832C",122,31,31,30,30,37,40,45
"R824E",121,31,30,30,30,32,33,56
"R811F",115,29,29,29,28,38,44,33
"R850J",115,29,29,29,28,21,33,61
"R820F",114,29,29,28,28,25,40,49
"R851B",113,29,28,28,28,21,32,60
"T737B",112,28,28,28,28,23,18,71
"R729A",111,28,28,28,27,13,29,69
"R729M",109,28,27,27,27,22,35,52
"T840B",109,28,27,27,27,18,23,68
"R850I",108,27,27,27,27,16,20,72
"R718D",101,26,25,25,25,22,24,55
"R846A",96,24,24,24,24,26,33,37
"R860A",95,24,24,24,23,31,32,32
"R840I",92,23,23,23,23,10,10,72
"T707A",92,23,23,23,23,14,14,64
"R719F",91,23,23,23,22,33,32,26
"T860L",90,23,23,22,22,14,35,41
"R813C",89,23,22,22,22,31,28,30
"T729A",88,22,22,22,22,13,15,60
"R840A",87,22,22,22,21,31,32,24
"R850B",87,22,22,22,21,24,13,50
"R824G",86,22,22,21,21,19,30,37
"R822F",85,22,21,21,21,29,26,30
"R861A",85,22,21,21,21,31,34,20
"R852B",84,21,21,21,21,12,18,54
"R821D",83,21,21,21,20,22,31,30
"R840S",83,21,21,21,20,18,11,54
"R852A",83,21,21,21,20,12,17,54
"R707D",82,21,21,20,20,14,12,56
"R769B",80,20,20,20,20,12,11,57
"R840B",80,20,20,20,20,19,20,41
"D798H",79,20,20,20,19,15,16,48
"T802A",79,20,20,20,19,11,19,49
"R802B",78,20,20,19,19,16,23,39
"R822I",78,20,20,19,19,31,25,22
"R841J",78,20,20,19,19,5,10,63
"R820G",77,20,19,19,19,24,30,23
"R860C",77,20,19,19,19,14,16,47
"R822E",76,19,19,19,19,25,31,20
"R833C",76,19,19,19,19,25,27,24
"T830E",76,19,19,19,19,6,9,61
"R823C",74,19,19,18,18,25,18,31
"T747A",74,19,19,18,18,18,8,48
"T758A",74,19,19,18,18,14,13,47
"R860B",73,19,18,18,18,17,12,44
"R821E",72,18,18,18,18,28,23,21
"T739A",72,18,18,18,18,15,8,49
"R804A",71,18,18,18,17,25,21,25
"R851D",71,18,18,18,17,12,15,44
"T728C",70,18,18,17,17,17,10,43
"R717G",69,18,17,17,17,13,16,40
"R739B",69,18,17,17,17,23,25,21
"R820A",69,18,17,17,17,22,28,19
"R822D",69,18,17,17,17,25,22,22
"R827A",69,18,17,17,17,19,26,24
"D821K",68,17,17,17,17,23,16,29
"R851A",68,17,17,17,17,9,11,48
"R800B",67,17,17,17,16,24,23,20
"R821B",67,17,17,17,16,25,21,21
"R727B",65,17,16,16,16,13,12,40
"R833I",65,17,16,16,16,12,21,32
"T729F",65,17,16,16,16,7,13,45
"T738A",65,17,16,16,16,5,9,51
"R727D",64,16,16,16,16,10,10,44
"R832F",63,16,16,16,15,25,20,18
"T830C",63,16,16,16,15,10,10,43
"R729J",62,16,16,15,15,17,23,22
"R834E",62,16,16,15,15,10,16,36
"T769F",62,16,16,15,15,16,20,26
"R727F",61,16,15,15,15,9,12,40
"T758D",61,16,15,15,15,24,16,21
"R717K",59,15,15,15,14,19,13,27
"R830D",59,15,15,15,14,11,10,38
"T833B",59,15,15,15,14,15,11,33
"T850B",59,15,15,15,14,5,17,37
"R840J",58,15,15,14,14,21,18,19
"R840C",57,15,14,14,14,15,10,32
"R820B",56,14,14,14,14,18,21,17
"R820H",56,14,14,14,14,18,21,17
"R825H",56,14,14,14,14,15,16,25
"R825F",55,14,14,14,13,21,15,19
"T840F",55,14,14,14,13,6,0,49
"R708C",54,14,14,13,13,12,16,26
"R825B",54,14,14,13,13,10,11,33
"T779A",54,14,14,13,13,8,6,40
"R842D",53,14,13,13,13,9,16,28
"R769A",52,13,13,13,13,20,20,12
"R824A",52,13,13,13,13,14,15,23
"R832B",52,13,13,13,13,10,14,28
"T739C",52,13,13,13,13,16,7,29
"T833D",52,13,13,13,13,6,7,39
"R813B",51,13,13,13,12,22,13,16
"R842C",51,13,13,13,12,17,14,20
"T709B",51,13,13,13,12,14,16,21
"D822A",50,13,13,12,12,18,3,29
"R831E",50,13,13,12,12,21,22,7
"R835B",50,13,13,12,12,13,13,24
"R840N",50,13,13,12,12,17,10,23
"R850G",50,13,13,12,12,11,4,35
"R749C",49,13,12,12,12,9,11,29
"R803G",49,13,12,12,12,12,16,21
"R840H",49,13,12,12,12,16,16,17
"R803C",48,12,12,12,12,11,15,22
"R851F",48,12,12,12,12,17,20,11
"T729D",48,12,12,12,12,11,11,26
"T749D",48,12,12,12,12,13,9,26
"T823C",47,12,12,12,11,3,12,32
"D747A",46,12,12,11,11,8,12,26
"R717C",46,12,12,11,11,5,9,32
"R831F",46,12,12,11,11,11,15,20
"R729B",45,12,11,11,11,7,9,29
"R769N",45,12,11,11,11,8,10,27
"R811A",45,12,11,11,11,12,15,18
"R821A",45,12,11,11,11,13,14,18
"R851C",45,12,11,11,11,12,11,22
"R852E",45,12,11,11,11,21,18,6
"T851A",45,12,11,11,11,12,3,30
"T860A",45,12,11,11,11,6,4,35
"D718B",44,11,11,11,11,11,9,24
"R708A",44,11,11,11,11,7,8,29
"R798E",44,11,11,11,11,17,11,16
"R831G",44,11,11,11,11,14,15,15
"D821S",43,11,11,11,10,9,17,17
"R717D",43,11,11,11,10,5,13,25
"R738A",43,11,11,11,10,9,7,27
"R816B",43,11,11,11,10,9,12,22
"R834C",43,11,11,11,10,5,10,28
"R920B",43,11,11,11,10,16,15,12
"T727A",43,11,11,11,10,8,7,28
"T758T",43,11,11,11,10,11,12,20
"R825I",42,11,11,10,10,12,14,16
"R840M",42,11,11,10,10,10,16,16
"R851P",42,11,11,10,10,5,10,27
"T739H",42,11,11,10,10,14,8,20
"T804A",42,11,11,10,10,11,7,24
"D798F",41,11,10,10,10,13,18,10
"R831A",40,10,10,10,10,12,15,13
"T708B",40,10,10,10,10,12,10,18
"D719A",39,10,10,10,9,6,5,28
"D798E",39,10,10,10,9,15,14,10
"D822C",39,10,10,10,9,5,7,27
"R803A",39,10,10,10,9,11,11,17
"R850F",39,10,10,10,9,3,8,28
"T717B",39,10,10,10,9,8,6,25
"T823A",39,10,10,10,9,10,7,22
"R717F",38,10,10,9,9,8,6,24
"R832D",38,10,10,9,9,13,14,11
"R850E",38,10,10,9,9,9,7,22
"T728S",38,10,10,9,9,9,5,24
"T749A",38,10,10,9,9,6,7,25
"R747A",37,10,9,9,9,4,8,25
"R759D",37,10,9,9,9,9,12,16
"R813A",37,10,9,9,9,7,7,23
"R842B",37,10,9,9,9,5,11,21
"T747B",37,10,9,9,9,7,10,20
"T812B",37,10,9,9,9,6,7,24
"R779A",36,9,9,9,9,6,8,22
"R779C",36,9,9,9,9,8,6,22
"R800G",36,9,9,9,9,6,6,24
"R822H",36,9,9,9,9,15,14,7
"R841H",36,9,9,9,9,13,11,12
"R843B",36,9,9,9,9,3,8,25
"R739D",35,9,9,9,8,4,7,24
"R801F",35,9,9,9,8,5,6,24
"R846B",35,9,9,9,8,7,6,22
"T831D",35,9,9,9,8,4,2,29
"R759E",34,9,9,8,8,7,7,20
"R814E",34,9,9,8,8,6,10,18
"T739I",34,9,9,8,8,14,10,10
"T820D",34,9,9,8,8,7,7,20
"R719A",33,9,8,8,8,5,6,22
"R719C",33,9,8,8,8,10,9,14
"R759C",33,9,8,8,8,6,7,20
"R823G",33,9,8,8,8,12,12,9
"R842T",33,9,8,8,8,0,1,32
"T758C",33,9,8,8,8,11,6,16
"T811B",33,9,8,8,8,8,9,16
"R729O",32,8,8,8,8,4,5,23
"R738B",32,8,8,8,8,4,6,22
"R800C",32,8,8,8,8,7,5,20
"R840G",32,8,8,8,8,7,8,17
"R841E",32,8,8,8,8,11,12,9
"T729B",32,8,8,8,8,6,8,18
"T803A",32,8,8,8,8,1,8,23
"T840E",32,8,8,8,8,1,2,29
"D718A",31,8,8,8,7,5,8,18
"R729S",31,8,8,8,7,7,3,21
"R803F",31,8,8,8,7,6,5,20
"R835C",31,8,8,8,7,6,10,15
"R838A",31,8,8,8,7,5,8,18
"R840D",31,8,8,8,7,6,5,20
"R861F",31,8,8,8,7,10,12,9
"T709F",31,8,8,8,7,4,4,23
"R718B",30,8,8,7,7,1,5,24
"R727C",30,8,8,7,7,8,4,18
"R759G",30,8,8,7,7,7,5,18
"R815A",30,8,8,7,7,8,9,13
"R815B",30,8,8,7,7,7,9,14
"R833E",30,8,8,7,7,8,6,16
"R843C",30,8,8,7,7,12,12,6
"R850A",30,8,8,7,7,5,8,17
"T812A",30,8,8,7,7,6,8,16
"T834A",30,8,8,7,7,2,4,24
"D798G",29,8,7,7,7,3,6,20
"R718F",29,8,7,7,7,2,7,20
"R853A",29,8,7,7,7,4,5,20
"R709L",28,7,7,7,7,6,10,12
"R832A",28,7,7,7,7,9,12,7
"R860G",28,7,7,7,7,5,7,16
"T739E",28,7,7,7,7,3,5,20
"T747D",28,7,7,7,7,8,8,12
"T749C",28,7,7,7,7,1,10,17
"T810C",28,7,7,7,7,3,4,21
"R727E",27,7,7,7,6,7,3,17
"R729I",27,7,7,7,6,7,12,8
"R801A",27,7,7,7,6,1,5,21
"R822G",27,7,7,7,6,7,10,10
"R841A",27,7,7,7,6,2,6,19
"R852C",27,7,7,7,6,4,7,16
"R860F",27,7,7,7,6,8,8,11
"D822I",26,7,7,6,6,7,6,13
"R719E",26,7,7,6,6,6,7,13
"R719J",26,7,7,6,6,2,5,19
"R747E",26,7,7,6,6,4,4,18
"R758A",26,7,7,6,6,3,8,15
"R769E",26,7,7,6,6,7,6,13
"R802C",26,7,7,6,6,6,7,13
"R821C",26,7,7,6,6,7,10,9
"R852T",26,7,7,6,6,4,2,20
"T738B",26,7,7,6,6,7,6,13
"T833F",26,7,7,6,6,3,8,15
"T860B",26,7,7,6,6,13,13,0
"D831K",25,7,6,6,6,10,7,8
"R719L",25,7,6,6,6,6,5,14
"R729C",25,7,6,6,6,2,3,20
"R824F",25,7,6,6,6,2,5,18
"R833H",25,7,6,6,6,8,12,5
"R843A",25,7,6,6,6,10,8,7
"R860D",25,7,6,6,6,4,0,21
"T737A",25,7,6,6,6,3,6,16
"T769A",25,7,6,6,6,6,4,15
"T860C",25,7,6,6,6,4,6,15
"R719G",24,6,6,6,6,5,6,13
"R769M",24,6,6,6,6,5,4,15
"R779B",24,6,6,6,6,6,4,14
"R811H",24,6,6,6,6,6,7,11
"R816F",24,6,6,6,6,6,7,11
"R850H",24,6,6,6,6,2,4,18
"T717C",24,6,6,6,6,0,1,23
"T719E",24,6,6,6,6,3,4,17
"D798C",23,6,6,6,5,6,4,13
"D822U",23,6,6,6,5,6,2,15
"R728C",23,6,6,6,5,3,5,15
"R739C",23,6,6,6,5,7,3,13
"R739E",23,6,6,6,5,1,5,17
"R779H",23,6,6,6,5,1,4,18
"R810G",23,6,6,6,5,5,8,10
"R824J",23,6,6,6,5,7,5,11
"R834F",23,6,6,6,5,7,9,7
"T718D",23,6,6,6,5,1,4,18
"T813D",23,6,6,6,5,3,6,14
"R719I",22,6,6,5,5,0,6,16
"R823D",22,6,6,5,5,6,6,10
"R825C",22,6,6,5,5,6,5,11
"T814U",22,6,6,5,5,6,4,12
"R709R",21,6,5,5,5,4,4,13
"R800E",21,6,5,5,5,6,5,10
"R803B",21,6,5,5,5,3,5,13
"R822C",21,6,5,5,5,7,7,7
"T769C",21,6,5,5,5,3,3,15
"T840A",21,6,5,5,5,2,6,13
"T840C",21,6,5,5,5,4,3,14
"R707U",20,5,5,5,5,6,1,13
"R759B",20,5,5,5,5,1,2,17
"R799A",20,5,5,5,5,2,7,11
"R810M",20,5,5,5,5,3,1,16
"R860E",20,5,5,5,5,0,8,12
"R864A",20,5,5,5,5,7,8,5
"T757D",20,5,5,5,5,8,7,5
"D708A",19,5,5,5,4,4,5,10
"R718H",19,5,5,5,4,3,3,13
"R801E",19,5,5,5,4,5,8,6
"R824I",19,5,5,5,4,4,6,9
"R830H",19,5,5,5,4,7,6,6
"R707B",18,5,5,4,4,3,1,14
"R728D",18,5,5,4,4,1,7,10
"R803E",18,5,5,4,4,7,5,6
"R805A",18,5,5,4,4,2,5,11
"R814D",18,5,5,4,4,4,3,11
"R824B",18,5,5,4,4,8,4,6
"R852D",18,5,5,4,4,2,3,13
"T821A",18,5,5,4,4,0,4,14
"T833A",18,5,5,4,4,3,1,14
"T843A",18,5,5,4,4,2,1,15
"R709D",17,5,4,4,4,7,6,4
"R811B",17,5,4,4,4,5,7,5
"R811G",17,5,4,4,4,6,5,6
"R820C",17,5,4,4,4,4,5,8
"R820D",17,5,4,4,4,3,7,7
"R824H",17,5,4,4,4,3,4,10
"R825D",17,5,4,4,4,3,3,11
"R840F",17,5,4,4,4,7,4,6
"T717A",17,5,4,4,4,1,4,12
"T749B",17,5,4,4,4,4,3,10
"T810D",17,5,4,4,4,3,2,12
"T812E",17,5,4,4,4,4,3,10
"T823E",17,5,4,4,4,4,5,8
"T824C",17,5,4,4,4,2,1,14
"D802A",16,4,4,4,4,4,4,8
"R708R",16,4,4,4,4,2,3,11
"R709M",16,4,4,4,4,6,6,4
"R719K",16,4,4,4,4,4,2,10
"R833A",16,4,4,4,4,5,6,5
"R842A",16,4,4,4,4,3,5,8
"R843D",16,4,4,4,4,3,3,10
"R850D",16,4,4,4,4,3,5,8
"T709E",16,4,4,4,4,0,1,15
"T718B",16,4,4,4,4,4,3,9
"T820A",16,4,4,4,4,0,3,13
"T823J",16,4,4,4,4,6,2,8
"R708F",15,4,4,4,3,2,1,12
"R709C",15,4,4,4,3,2,1,12
"R759F",15,4,4,4,3,3,2,10
"R797A",15,4,4,4,3,4,4,7
"R800A",15,4,4,4,3,4,4,7
"R814G",15,4,4,4,3,4,7,4
"R820E",15,4,4,4,3,2,6,7
"R840E",15,4,4,4,3,3,5,7
"R841B",15,4,4,4,3,4,3,8
"R841I",15,4,4,4,3,5,4,6
"R880A",15,4,4,4,3,5,3,7
"T728A",15,4,4,4,3,2,4,9
"T759B",15,4,4,4,3,1,1,13
"T820C",15,4,4,4,3,2,4,9
"T830A",15,4,4,4,3,4,2,9
"D840A",14,4,4,3,3,4,3,7
"R709A",14,4,4,3,3,3,2,9
"R709E",14,4,4,3,3,2,2,10
"R729N",14,4,4,3,3,2,3,9
"R810A",14,4,4,3,3,3,3,8
"R810J",14,4,4,3,3,4,2,8
"R813G",14,4,4,3,3,3,2,9
"R825E",14,4,4,3,3,2,2,10
"R831B",14,4,4,3,3,2,3,9
"R850C",14,4,4,3,3,2,3,9
"R852F",14,4,4,3,3,3,5,6
"T804B",14,4,4,3,3,3,2,9
"C831C",13,4,3,3,3,4,6,3
"D739A",13,4,3,3,3,2,2,9
"R709F",13,4,3,3,3,4,3,6
"R709K",13,4,3,3,3,2,4,7
"R718E",13,4,3,3,3,2,1,10
"R727A",13,4,3,3,3,6,3,4
"R729E",13,4,3,3,3,3,3,7
"R729G",13,4,3,3,3,6,3,4
"R729H",13,4,3,3,3,2,1,10
"R804B",13,4,3,3,3,2,2,9
"R810H",13,4,3,3,3,3,3,7
"R811C",13,4,3,3,3,1,4,8
"R824C",13,4,3,3,3,3,1,9
"R833B",13,4,3,3,3,2,3,8
"R842E",13,4,3,3,3,0,1,12
"T708C",13,4,3,3,3,1,1,11
"T709D",13,4,3,3,3,1,6,6
"T821C",13,4,3,3,3,2,5,6
"T821G",13,4,3,3,3,1,3,9
"T850A",13,4,3,3,3,1,1,11
"D798A",12,3,3,3,3,5,3,4
"R709B",12,3,3,3,3,3,5,4
"R709G",12,3,3,3,3,2,4,6
"R717J",12,3,3,3,3,1,3,8
"R719B",12,3,3,3,3,3,2,7
"R719H",12,3,3,3,3,1,3,8
"R728B",12,3,3,3,3,2,4,6
"R749B",12,3,3,3,3,4,5,3
"R814F",12,3,3,3,3,1,4,7
"R830I",12,3,3,3,3,1,4,7
"R834D",12,3,3,3,3,4,5,3
