name_2,N_PERCENT_ASIAN,N_PERCENT_BLACK,N_PERCENT_HISPANIC,N_PERCENT_WHITE
,,,,
Downing Creek,12.420321617808218,3.3946491140525112,0.597109941979452,82.17254761285388
Colony Woods,0.0,20.25316456,4.068716094,70.70524412
Southpoint Manor,8.610086101,21.52521525,0.0,68.94218942
Eastwood Park,7.371167645,11.2198304,6.196999348,74.36399217
Falconbridge,10.07462687,2.686567164,0.0,87.23880597
The Landing at Southpoint,8.610086101,21.52521525,0.0,68.94218942
Five Oaks,0.0,25.96491228,26.9005848,44.09356725
Five Oaks 4100,0.0,25.964912279999997,26.9005848,44.09356724999999
Bent Creek / Woodberry Forest,5.781078876640395,22.660457497044334,0.1325151960591133,70.22744048990148
Everwood,5.809698079,22.64409881,0.0,70.3568161
Mary Dell,5.809698079,22.64409881,0.0,70.3568161
Trotter Ridge,5.809698079,22.64409881,0.0,70.3568161
Sterling Ridge,5.809698079000001,22.64409881,0.0,70.3568161
Hope Valley,2.227454190798471,11.59875588665601,2.3239867941646977,80.3046536300695
Colvard Farms,20.89461505488532,7.128230239417432,1.8903867707431194,65.84569034077981
Chancellor's Ridge,20.94517958,7.069943289,1.890359168,65.86011342
Chelsea Meadows,20.94517958,7.069943289,1.890359168,65.86011342
The Hills at Southpoint,9.922113105,19.77649848,1.896376566,62.71588215
Huntington Ridge,20.94517958,7.069943288999999,1.890359168,65.86011342
Southampton,9.922113105,19.77649848,1.896376566,62.71588215
Oakhaven,9.922113105,19.77649848,1.896376566,62.71588215
Eagle's Pointe,15.275643849714285,7.795647884657142,1.667938384914286,69.78805865657144
Buck Crossing,12.677106640000002,8.128262491,1.5659955260000002,71.58836689
Highgate,2.011680727,66.32057106,3.958468527,26.47631408
Woodcroft,4.825306875277317,16.400798752377593,3.623324112017981,73.36192023719225
Abron Drive,12.67710664,8.128262491,1.565995526,71.58836689
Brandon Ridge,2.011680727,66.32057106,3.9584685269999995,26.47631408
Whitney Park,2.011680727,66.32057106,3.958468527,26.47631408
Park Ridge,2.199661591,24.95769882,1.861252115,69.20473773
Darby Glen,2.011680727,66.32057106,3.9584685269999995,26.476314079999998
Folkestone,15.265021644666668,23.55236906185185,0.041849759370370374,57.99633589888889
Wyndcross,16.81547619,24.35515873,28.670634920000005,30.15873016
Crooked Creek,6.403903957597444,40.41509359373802,13.023102001182108,27.334614579584663
Valleybrook,5.404308108281081,19.75689975654054,5.655394514405406,59.25814689848649
Hope Valley Green,5.82010582,23.28042328,6.084656085,54.4973545
Sunningdale,5.82010582,23.28042328,6.084656085,54.4973545
Hope Valley Farms,2.6120885272738854,34.82124509955414,3.440894205407643,52.37403166853503
Surrey Green,0.0,27.13833157,1.16156283,70.64413939
Cross Timbers,5.5217487450941185,8.392208141823529,7.716477895905882,77.108404002
Woodwinds,5.501330967,8.42945874,7.808340728,77.01863354
Windsor Oaks,0.21142487142857144,26.676557552556392,3.8667047505639096,68.43925549909775
Hope Valley Forest,0.0,27.167948594013158,1.159747676276316,70.61981109276316
Homeplace I,7.309258315014286,6.267618198214286,0.09685230025714286,83.48135168699999
Homeplace II,7.24841547189726,5.4236880804452055,0.015478678123287671,84.4624927218493
Hope Valley Farms North,13.61262613256536,21.721347426898692,7.036803318493464,53.652115927124186
Fairfield,4.7564184214751775,41.55233406546099,1.8259687123333335,45.178047248404255
Oakhurst,0.643604183,58.88978278,1.769911504,31.2148029
Lakehurst,6.981839201195021,39.36285867834025,1.300463126680498,47.628971295850626
Settler's Point,9.095860566,32.89760349,1.089324619,53.10457516
