"NAME","GEOG","NID","ASSESSMENT_CHANGE","SALES_QUARTILE","OVER_UNDER","D_OVER_UNDER","COUNT","D_COUNT","MED_SALES_PRICE","MED_SALES_RATIO","COD","D_COD","PRD","N_LOW_COUNT","VCS_LOW_COUNT"
"Abercromby","neighborhood",1,87.3174093972828,"Q1","Accurate","Accurate",2,2,292750,0.57324974465825,0.981824095812301,1.38461004333459,1.00019288052795,NA,NA
"Abercromby","neighborhood",2,77.8651259552423,"Q1","Overassessed","Overassessed",4,4,245000,0.774440969899665,11.0754559148536,31.4427489369315,1.01274951270054,NA,NA
"Abercromby","neighborhood",3,81.6045093698387,"Q2","Accurate","Accurate",6,6,311250,0.585129802708241,1.90237313040764,2.06736949967722,0.963174264310957,NA,NA
"Abercromby","neighborhood",4,92.2059562506635,"Q3","Accurate","Accurate",4,4,346000,0.545456514619883,1.60701093311833,6.39968951010777,1.00036812308483,NA,NA
"Abercromby","neighborhood",5,95.7988268657596,"Q3","Underassessed","Underassessed",2,2,355000,0.504586049751244,2.83943305440973,13.1967340123679,1.00160224367214,NA,NA
"Abercromby","neighborhood",6,103.307730243792,"Q4","Underassessed","Underassessed",6,6,415000,0.479937514518002,3.11268137222739,17.5622746248854,0.999427321480439,NA,NA
"Albright","neighborhood",7,90.7633234138481,"Q1","Overassessed","Overassessed",7,7,184000,0.814146666666667,12.5387733570579,47.0563602039012,0.686254312782565,NA,NA
"Albright","neighborhood",8,158.757684239156,"Q1","Underassessed","Underassessed",4,4,179750,0.438431151346332,7.20390255390158,27.6412446271549,0.810224214668652,NA,NA
"Albright","neighborhood",9,105.247717949928,"Q2","Accurate","Accurate",4,4,250000,0.574807474747475,3.19519628792637,3.15951758194003,0.6938053989949,NA,NA
"Albright","neighborhood",10,126.413472863168,"Q2","Underassessed","Underassessed",7,7,250000,0.354475555555556,22.5259973168294,33.1412856416854,0.786522960683318,NA,NA
"Albright","neighborhood",11,40.9449150808295,"Q3","Accurate","Accurate",2,2,355000,0.595212280701754,2.59497569789342,2.65708840759864,0.865344938064763,NA,NA
"Albright","neighborhood",12,57.4823855134361,"Q3","Overassessed","Overassessed",5,5,350000,0.72587027027027,4.08453224012895,22.7163217101873,1.08916784134144,NA,NA
"Albright","neighborhood",13,126.69641247468,"Q3","Underassessed","Underassessed",4,4,327750,0.241911250785669,6.8057948391717,57.8728635117279,0.50335283502039,NA,NA
"Albright","neighborhood",14,47.6283949441891,"Q4","Overassessed","Overassessed",7,7,475000,0.732963906581741,6.96724644846504,28.858022528013,1.00638361644983,NA,NA
"Albright","neighborhood",15,102.706662385306,"Q4","Underassessed","Underassessed",3,3,420000,0.326501149425287,37.206655763384,46.5070736774412,0.633008726704833,NA,NA
"American Village","neighborhood",16,95.2065541471398,"Q1","Accurate","Accurate",3,3,430000,0.600677382319173,4.16123232388785,5.41119988040857,0.975379947649058,NA,NA
"American Village","neighborhood",17,87.2387243626835,"Q1","Overassessed","Overassessed",17,17,385000,0.754493506493506,7.08670346486893,31.0912762680827,1.00358993285682,NA,NA
"American Village","neighborhood",18,87.4784611315234,"Q2","Accurate","Accurate",12,12,472500,0.57557146720611,3.04058894734463,3.06677885589207,0.975369672322422,NA,NA
"American Village","neighborhood",19,71.9317145514583,"Q2","Overassessed","Overassessed",8,8,467500,0.683194674874424,7.47575286226218,22.9739568760866,0.988519884603815,NA,NA
"American Village","neighborhood",20,85.3807492637695,"Q3","Accurate","Accurate",8,8,522750,0.585800679882045,3.92137066585048,3.95174209827618,0.999960980650367,NA,NA
"American Village","neighborhood",21,72.2028255483317,"Q3","Overassessed","Overassessed",7,7,515000,0.696325714285714,5.79626523914877,21.8762286314193,0.978412409792757,NA,NA
"American Village","neighborhood",22,96.054003730436,"Q3","Underassessed","Underassessed",5,5,548000,0.515131386861314,1.50098539585854,10.8656914703262,0.999995643993986,NA,NA
"American Village","neighborhood",23,78.5756264372101,"Q4","Accurate","Accurate",10,10,690000,0.579661427174976,3.49423519155939,3.4843948367999,0.9984465443328,NA,NA
"American Village","neighborhood",24,72.2682828561475,"Q4","Overassessed","Overassessed",6,6,667000,0.692145813079982,4.23767815225001,17.6710654391922,0.998546650093172,NA,NA
"American Village","neighborhood",25,99.3248165232221,"Q4","Underassessed","Underassessed",3,3,665000,0.495476753349094,2.45827043060909,16.0502293206787,0.996049236528797,NA,NA
