"REID","PIN","ADDRESS","LAND_CLASS","ASSESSED_VALUE_2024","VCS","ASSESSED_VALUE_2025","ASSESSED_VALUE_2021","ASSESSED_VALUE_2022","ASSESSED_VALUE_2023","ASSESSMENT_CHANGE","VCS_NEIGHBORHOOD","NEIGHBORHOOD","COUNTY","PRICE","SALE_DATE","SALE_YEAR","SALE_YEAR_ASSESSED_VALUE","SALES_RATIO"
"100006",822537424,"912   LANCASTER ST","RES/ 1-FAMILY",190029,"R822D - WALL TOWN",377254,190029,190029,190029,98.524435744018,"WALL TOWN","Walltown","Durham County",250000,"2021-02-01",2021,190029,0.760116
"100018",822539108,"903  N BUCHANAN BLVD","RES/ 1-FAMILY",476101,"R822D - WALL TOWN",705916,218544,476101,476101,48.2702199743332,"WALL TOWN","Walltown","Durham County",6e+05,"2022-02-01",2022,476101,0.793501666666667
"100050",822533761,"922   ONSLOW ST","RES/ 1-FAMILY",214445,"R822D - WALL TOWN",427356,214445,214445,214445,99.2846650656345,"WALL TOWN","Walltown","Durham County",425000,"2024-01-31",2024,214445,0.504576470588235
"100088",822531251,"903   ONSLOW ST","RES/ 1-FAMILY",227131,"R822D - WALL TOWN",561209,227131,227131,227131,147.086042856325,"WALL TOWN","Walltown","Durham County",560000,"2021-11-12",2021,227131,0.405591071428571
"100092",822531357,"911   ONSLOW ST","RES/ 1-FAMILY",177169,"R822D - WALL TOWN",360651,177169,177169,177169,103.563264453714,"WALL TOWN","Walltown","Durham County",350000,"2024-09-30",2024,177169,0.506197142857143
"100100",822436713,"1509  W KNOX ST","RES/ 1-FAMILY",174049,"R822D - WALL TOWN",296036,174049,174049,174049,70.0877339140127,"WALL TOWN","Walltown","Durham County",285000,"2024-12-19",2024,174049,0.610698245614035
"100101",822436652,"920   SEDGEFIELD ST","RES/ 1-FAMILY",449650,"R822D - WALL TOWN",827465,449650,449650,449650,84.0242410763927,"WALL TOWN","Walltown","Durham County",770000,"2023-04-03",2023,449650,0.583961038961039
"100105",822436443,"910   SEDGEFIELD ST","RES/ 2-FAMILY",551854,"R822D - WALL TOWN",1022002,551854,551854,551854,85.1942723981343,"WALL TOWN","Walltown","Durham County",1050000,"2023-03-27",2023,551854,0.525575238095238
"100113",822437298,"903   BERKELEY ST","RES/ 1-FAMILY",567756,"R822D - WALL TOWN",900227,185783,567756,567756,58.5587822938023,"WALL TOWN","Walltown","Durham County",885000,"2022-01-06",2022,567756,0.64153220338983
"100115",822438308,"907   BERKELEY ST","RES/ 1-FAMILY",229283,"R822D - WALL TOWN",411019,182406,182406,182406,79.2627451664537,"WALL TOWN","Walltown","Durham County",390000,"2023-07-24",2023,182406,0.467707692307692
"100137",822434330,"905   SEDGEFIELD ST","RES/ 1-FAMILY",214365,"R822D - WALL TOWN",460624,196324,196324,214365,114.878361672848,"WALL TOWN","Walltown","Durham County",463500,"2022-12-14",2022,196324,0.423568500539374
"100150",822526895,"814   LANCASTER ST","RES/ MULTIPLE DWG'S",1055342,"R822C - TRINITY HEIGHTS",1477931,1047362,1047362,1055342,40.0428486689623,"TRINITY HEIGHTS","Trinity Heights","Durham County",1153000,"2021-01-04",2021,1047362,0.908379878577624
"100151",822526798,"812   LANCASTER ST","RES/ 1-FAMILY",749316,"R822C - TRINITY HEIGHTS",1180461,343383,343383,343383,57.5384750892814,"TRINITY HEIGHTS","Trinity Heights","Durham County",1178000,"2023-01-27",2023,343383,0.291496604414261
"100155",822526531,"1206  W MARKHAM AVE","RES/ 2-FAMILY",479005,"R822C - TRINITY HEIGHTS",787070,479005,479005,479005,64.3135249110135,"TRINITY HEIGHTS","Trinity Heights","Durham County",825000,"2022-05-18",2022,479005,0.580612121212121
"100156",822527500,"1204  W MARKHAM AVE","RES/ HISTORICAL",784803,"R822C - TRINITY HEIGHTS",NA,784803,784803,784803,NA,"TRINITY HEIGHTS","Trinity Heights","Durham County",1310000,"2023-05-10",2023,784803,0.599086259541985
"100157",822528437,"1200  W MARKHAM AVE","RES/ 1-FAMILY",526566,"R822C - TRINITY HEIGHTS",783456,526566,526566,526566,48.7859071797268,"TRINITY HEIGHTS","Trinity Heights","Durham County",702000,"2023-11-07",2023,526566,0.750094017094017
"100169",822533055,"830   ONSLOW ST","RES/ 1-FAMILY",497897,"R822C - TRINITY HEIGHTS",687322,497897,497897,497897,38.0450173429444,"TRINITY HEIGHTS","Trinity Heights","Durham County",680000,"2022-06-27",2022,497897,0.732201470588235
"100183",822524794,"811   LANCASTER ST","RES/ 1-FAMILY",385359,"R822C - TRINITY HEIGHTS",631644,310259,310259,310259,63.9105353709139,"TRINITY HEIGHTS","Trinity Heights","Durham County",690000,"2023-04-06",2023,310259,0.449650724637681
"100191",822525929,"821   LANCASTER ST","RES/ 1-FAMILY",485174,"R822C - TRINITY HEIGHTS",810698,485174,485174,485174,67.0942795780483,"TRINITY HEIGHTS","Trinity Heights","Durham County",680000,"2021-10-21",2021,485174,0.713491176470588
"100192",822535034,"823   LANCASTER ST","RES/ 2-FAMILY",416751,"R822C - TRINITY HEIGHTS",647474,416751,416751,416751,55.3623146675113,"TRINITY HEIGHTS","Trinity Heights","Durham County",565000,"2022-10-12",2022,416751,0.737612389380531
"100200",822429876,"814   BERKELEY ST","RES/ 1-FAMILY",435430,"R822C - TRINITY HEIGHTS",977184,435430,435430,435430,124.418161357738,"TRINITY HEIGHTS","Trinity Heights","Durham County",1e+06,"2024-06-12",2024,435430,0.43543
